unity,bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
KHz,"137,8-148,5-KHz",MOBILE MARITIME,,,5.64,"Les émissions de classes A1A ou F1B, A2C, A3C, F1C ou F3C sont seules autorisées pour les stations du service fixe dans les bandes attribuées à ce service entre 90 kHz et 160 kHz (148,5 kHz en Région 1) et pour les stations du service mobile maritime dans les bandes attribuées à ce service entre 110 kHz et 160 kHz (148,5 kHz en Région 1). Exceptionnellement, les émissions de la classe J2B ou J7B sont également autorisées dans la bande 110-160 kHz (148,5 kHz en Région 1) pour les stations du service mobile maritime.","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
KHz,"148,5-255-KHz",RADIODIFFUSION,,,,,
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,"255-283,5-KHz",RADIODIFFUSION,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,"255-283,5-KHz",RADIONAVIGATION AÉRONAUTIQUE,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,"283,5-315-KHz",RADIONAVIGATION AÉRONAUTIQUE,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,"283,5-315-KHz",RADIONAVIGATION MARITIME,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,"283,5-315-KHz",(Radiophares),5.73,"La bande 285-325 kHz (283,5-325 kHz en Région 1) attribuée au service de radionavigation maritime peut être utilisée pour la transmission d'informations supplémentaires utiles à la navigation, à l'aide de techniques à bande étroite, à condition de ne pas causer de brouillages préjudiciables aux stations de radiophare exploitées dans le cadre du service de radionavigation. (CMR-97)",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,"283,5-315-KHz",,5.74,"Attribution additionnelle: en Région 1, la bande de fréquences 285,3-285,7 kHz est, de plus, attribuée au service de radionavigation maritime (autre que radiophares) à titre primaire.",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,315-325-KHz,RADIONAVIGATION AÉRONAUTIQUE,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,315-325-KHz,Radionavigation maritime,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,315-325-KHz,(radiophares),5.73,"La bande 285-325 kHz (283,5-325 kHz en Région 1) attribuée au service de radionavigation maritime peut être utilisée pour la transmission d'informations supplémentaires utiles à la navigation, à l'aide de techniques à bande étroite, à condition de ne pas causer de brouillages préjudiciables aux stations de radiophare exploitées dans le cadre du service de radionavigation. (CMR-97)",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,325-405-KHz,RADIONAVIGATION AERONAUTIQUE,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,405-415-KHz,RADIONAVIGATION,5.76,"La fréquence 410 kHz est destinée à la radiogoniométrie dans le service de radionavigation maritime. Les autres services de radionavigation auxquels la bande 405-415 kHz est attribuée ne doivent pas causer de brouillage préjudiciable à la radiogoniométrie dans la bande 406,5-413,5 kHz.",,,Fréquence 410 kHz : fréquence mondiale de radiogoniométrie dans le service de radionavigation maritime (positions des navires et des aéronefs). Cf. no. 5.76 du RR.
KHz,415-435-KHz,MOBILE MARITIME,5.79,"Dans le service mobile maritime, les bandes de fréquences 415-495 kHz et 505-526,5 kHz sont limitées à la radiotélégraphie et peuvent également être utilisées pour le système NAVDAT conformément à la version la plus récente de la Recommandation UIT-R M.2010, sous réserve d'un accord entre les administrations intéressées et celles dont les services sont susceptibles d'être affectés. Les stations d'émission du système NAVDAT sont limitées aux stations côtières. (CMR-19)",,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,415-435-KHz,RADIONAVIGATION AÉRONAUTIQUE,,,,,Equipements NDB (Non-Directional Beacon) -– radiophare aéronautique non directionnel.
KHz,435-472-KHz,MOBILE MARITIME,5.79,"Dans le service mobile maritime, les bandes de fréquences 415-495 kHz et 505-526,5 kHz sont limitées à la radiotélégraphie et peuvent également être utilisées pour le système NAVDAT conformément à la version la plus récente de la Recommandation UIT-R M.2010, sous réserve d'un accord entre les administrations intéressées et celles dont les services sont susceptibles d'être affectés. Les stations d'émission du système NAVDAT sont limitées aux stations côtières. (CMR-19)",,,
KHz,435-472-KHz,MOBILE MARITIME,5.79A,"Lorsqu'elles établissent des stations côtières du service NAVTEX sur les fréquences 490 kHz, 518 kHz et 4 209,5 kHz, les administrations sont instamment invitées à en coordonner les caractéristiques opérationnelles conformément aux procédures de l'Organisation maritime internationale (OMI) (voir la Résolution 339 (Rév. CMR-07)). (CMR-07)",,,
KHz,435-472-KHz,Radionavigation aéronautique,,,,,
KHz,435-472-KHz,,5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",,,
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,472-479-KHz,MOBILE MARITIME,5.79,"Dans le service mobile maritime, les bandes de fréquences 415-495 kHz et 505-526,5 kHz sont limitées à la radiotélégraphie et peuvent également être utilisées pour le système NAVDAT conformément à la version la plus récente de la Recommandation UIT-R M.2010, sous réserve d'un accord entre les administrations intéressées et celles dont les services sont susceptibles d'être affectés. Les stations d'émission du système NAVDAT sont limitées aux stations côtières. (CMR-19)",5.80B,,
KHz,472-479-KHz,MOBILE MARITIME,,,5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",
KHz,472-479-KHz,Amateur,5.80A,"La puissance isotrope rayonnée équivalente (p.i.r.e.) maximale des stations du service d'amateur utilisant des fréquences dans la bande 472-479 kHz ne doit pas dépasser 1 W. Les administrations peuvent porter cette limite de p.i.r.e. à 5 W sur les parties de leur territoire éloignées de plus de 800 km des frontières des pays suivants: Algérie, Arabie saoudite, Azerbaïdjan, Bahreïn, Bélarus, Chine, Comores, Djibouti, Egypte, Emirats arabes unis, Fédération de Russie, Iran (République islamique d'), Iraq, Jordanie, Kazakhstan, Koweït, Liban, Libye, Maroc, Mauritanie, Oman, Ouzbékistan, Qatar, République arabe syrienne, Kirghizistan, Somalie, Soudan, Tunisie, Ukraine et Yémen. Dans cette bande de fréquences, les stations du service d'amateur ne doivent pas causer de brouillage préjudiciable aux stations du service de radionavigation aéronautique, ni demander à être protégées vis-à-vis de ces stations. (CMR-12)",5.80B,,
KHz,472-479-KHz,Amateur,,,5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",
KHz,472-479-KHz,Radionavigation aéronautique,5.80,,5.80B,,
KHz,472-479-KHz,Radionavigation aéronautique,,,5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",
KHz,479-495-KHz,MOBILE MARITIME,5.79,"Dans le service mobile maritime, les bandes de fréquences 415-495 kHz et 505-526,5 kHz sont limitées à la radiotélégraphie et peuvent également être utilisées pour le système NAVDAT conformément à la version la plus récente de la Recommandation UIT-R M.2010, sous réserve d'un accord entre les administrations intéressées et celles dont les services sont susceptibles d'être affectés. Les stations d'émission du système NAVDAT sont limitées aux stations côtières. (CMR-19)",5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",Fréquence 490 kHz : diffusion de renseignements concernant la sécurité en mer par NBDP (Cf. Appendice 15 du RR)
KHz,479-495-KHz,MOBILE MARITIME,5.79A,"Lorsqu'elles établissent des stations côtières du service NAVTEX sur les fréquences 490 kHz, 518 kHz et 4 209,5 kHz, les administrations sont instamment invitées à en coordonner les caractéristiques opérationnelles conformément aux procédures de l'Organisation maritime internationale (OMI) (voir la Résolution 339 (Rév. CMR-07)). (CMR-07)",,,Fréquence 490 kHz : diffusion de renseignements concernant la sécurité en mer par NBDP (Cf. Appendice 15 du RR)
KHz,479-495-KHz,Radionavigation aéronautique,,,5.82,"Dans le service mobile maritime, la fréquence 490 kHz doit être utilisée exclusivement pour l'émission par les stations côtières d'alertes concernant la navigation et la météorologie et de renseignements urgents destinés aux navires, à l'aide de la télégraphie à impression directe à bande étroite. Les conditions d'emploi de la fréquence 490 kHz sont prescrites dans les Articles 31 et 52. En utilisant la bande de fréquences 415-495 kHz pour le service de radionavigation aéronautique, les administrations sont priées de faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. En utilisant la bande de fréquences 472-479 kHz pour le service d'amateur, les administrations doivent faire en sorte qu'aucun brouillage préjudiciable ne soit causé à la fréquence 490 kHz. (CMR-12)",Fréquence 490 kHz : diffusion de renseignements concernant la sécurité en mer par NBDP (Cf. Appendice 15 du RR)
KHz,CÔTE D’IVOIRE-KHz,CÔTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,495-505-KHz,MOBILE MARITIME,5.82C,"La bande de fréquences 495-505 kHz est utilisée pour le système NAVDAT international, conformément à la version la plus récente de la Recommandation UIT-R M.2010.",,,Fréquence 500 kHz : Système NAVDAT de diffusion numérique d'informations sur la sécurité et la sûreté en mer depuis une station côtière. (Cf. Article 28.12 du RR).
KHz,"505-526,5-KHz",MOBILE MARITIME,5.79,"Dans le service mobile maritime, les bandes de fréquences 415-495 kHz et 505-526,5 kHz sont limitées à la radiotélégraphie et peuvent également être utilisées pour le système NAVDAT conformément à la version la plus récente de la Recommandation UIT-R M.2010, sous réserve d'un accord entre les administrations intéressées et celles dont les services sont susceptibles d'être affectés. Les stations d'émission du système NAVDAT sont limitées aux stations côtières. (CMR-19)",,,
KHz,"505-526,5-KHz",,5.79A,"Lorsqu'elles établissent des stations côtières du service NAVTEX sur les fréquences 490 kHz, 518 kHz et 4 209,5 kHz, les administrations sont instamment invitées à en coordonner les caractéristiques opérationnelles conformément aux procédures de l'Organisation maritime internationale (OMI) (voir la Résolution 339 (Rév. CMR-07)). (CMR-07)",,,
KHz,"505-526,5-KHz",,5.84,Les conditions d'emploi de la fréquence 518 kHz par le service mobile maritime sont fixées dans les Articles 31 et 52. (CMR-07),,,
KHz,"505-526,5-KHz",RADIONAVIGATION AÉRONAUTIQUE,,,,,
KHz,"526,5-1606,5-KHz",RADIODIFFUSION,,,,,
KHz,"1606,5-1625-KHz",FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans la bande 1606,5-1625 kHz pour les stations côtières. (Cf. Art. 52.10 du RR)."
KHz,"1606,5-1625-KHz",MOBILE MARITIME,5.90,"Dans la bande 1 605-1 705 kHz, lorsqu'une station de radiodiffusion de la Région 2 est concernée, la zone de service des stations du service mobile maritime dans la Région 1 doit être limitée à celle assurée par la propagation par onde de sol.",5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans la bande 1606,5-1625 kHz pour les stations côtières. (Cf. Art. 52.10 du RR)."
KHz,"1606,5-1625-KHz",MOBILE TERRESTRE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans la bande 1606,5-1625 kHz pour les stations côtières. (Cf. Art. 52.10 du RR)."
KHz,1625-1635-KHz,RADIOLOCALISATION,,,,,
KHz,1635-1800-KHz,FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Radiotélégraphie maritime dans la bande 1635-1800 kHz pour les stations côtières (Cf. Art.52.10 du RR).
KHz,1635-1800-KHz,MOBILE MARITIME,5.90,"Dans la bande 1 605-1 705 kHz, lorsqu'une station de radiodiffusion de la Région 2 est concernée, la zone de service des stations du service mobile maritime dans la Région 1 doit être limitée à celle assurée par la propagation par onde de sol.",5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Radiotélégraphie maritime dans la bande 1635-1800 kHz pour les stations côtières (Cf. Art.52.10 du RR).
KHz,1635-1800-KHz,MOBILE TERRESTRE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Radiotélégraphie maritime dans la bande 1635-1800 kHz pour les stations côtières (Cf. Art.52.10 du RR).
KHz,CÔTE D’IVOIRE-KHz,CÔTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,1800-1810-KHz,RADIOLOCALISATION,,,,,
KHz,1810-1850-KHz,AMATEUR,,,,,
KHz,1850-2000-KHz,FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,1850-2000-KHz,FIXE,,,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,1850-2000-KHz,MOBILE sauf mobile aéronautique,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,1850-2000-KHz,MOBILE sauf mobile aéronautique,,,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,2000-2025-KHz,FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,2000-2025-KHz,FIXE,,,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,2000-2025-KHz,MOBILE sauf mobile aéronautique (R),,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,2000-2025-KHz,MOBILE sauf mobile aéronautique (R),,,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.",Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz.(Cf. Art. 52.9 du RR).
KHz,2025-2045-KHz,FIXE,,,,,Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz. (Cf. Art. 52.9 du RR). Stations de bouées océanographiques pour le service des auxiliaires de la météorologie (2 025-2 045 kHz).
KHz,2025-2045-KHz,MOBILE sauf mobile aéronautique (R),,,,,Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz. (Cf. Art. 52.9 du RR). Stations de bouées océanographiques pour le service des auxiliaires de la météorologie (2 025-2 045 kHz).
KHz,2025-2045-KHz,Auxiliaires de la météorologie,5.104,"En Région 1, l'utilisation de la bande 2 025-2 045 kHz par le service des auxiliaires de la météorologie est limitée aux stations de bouées océanographiques.",,,Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz. (Cf. Art. 52.9 du RR). Stations de bouées océanographiques pour le service des auxiliaires de la météorologie (2 025-2 045 kHz).
KHz,2025-2045-KHz,Auxiliaires de la météorologie,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.",,,Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz. (Cf. Art. 52.9 du RR). Stations de bouées océanographiques pour le service des auxiliaires de la météorologie (2 025-2 045 kHz).
KHz,2025-2045-KHz,Auxiliaires de la météorologie,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.",,,Communications mobiles maritimes dans les bandes 1850-1950 kHz et 1950-2045 kHz. (Cf. Art. 52.9 du RR). Stations de bouées océanographiques pour le service des auxiliaires de la météorologie (2 025-2 045 kHz).
KHz,CÔTE D’IVOIRE-KHz,CÔTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,2045-2160-KHz,FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans les bandes 2045-2141,5 kHz et 2141,5-2160 kHz pour les stations de navire (Cf Art.52.10 du RR). Fréquences 2045 kHz et 2048 kHz : fréquences internationales pour les communications maritimes navire-navire."
KHz,2045-2160-KHz,MOBILE MARITIME,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans les bandes 2045-2141,5 kHz et 2141,5-2160 kHz pour les stations de navire (Cf Art.52.10 du RR). Fréquences 2045 kHz et 2048 kHz : fréquences internationales pour les communications maritimes navire-navire."
KHz,2045-2160-KHz,MOBILE TERRESTRE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Radiotélégraphie maritime dans les bandes 2045-2141,5 kHz et 2141,5-2160 kHz pour les stations de navire (Cf Art.52.10 du RR). Fréquences 2045 kHz et 2048 kHz : fréquences internationales pour les communications maritimes navire-navire."
KHz,2160-2170-KHz,RADIOLOCALISATION,,,,,
KHz,"2170-2173,5-KHz",MOBILE MARITIME,,,,,
KHz,"2173,5-2190,5-KHz",MOBILE (détresse et appel),,,5.108,"La fréquence porteuse 2 182 kHz est une fréquence internationale de détresse et d'appel en radiotéléphonie. Les conditions d'emploi de la bande 2 173,5-2 190,5 kHz sont fixées dans les Articles 31 et 52. (CMR-07)",
KHz,"2173,5-2190,5-KHz",MOBILE (détresse et appel),,,5.109,"Les fréquences 2 187,5 kHz, 4 207,5 kHz, 6 312 kHz, 8 414,5 kHz, 12 577 kHz et 16 804,5 kHz sont des fréquences internationales de détresse pour l'appel sélectif numérique. Les conditions d'emploi de ces fréquences sont fixées dans l'Article 31.",
KHz,"2173,5-2190,5-KHz",MOBILE (détresse et appel),,,5.110,"Les fréquences 2 174,5 kHz, 4 177,5 kHz, 6 268 kHz, 8 376,5 kHz, 12 520 kHz et 16 695 kHz sont des fréquences internationales de détresse pour la télégraphie à impression directe à bande étroite. Les conditions d'emploi de ces fréquences sont fixées dans l'Article 31.",
KHz,"2173,5-2190,5-KHz",MOBILE (détresse et appel),,,5.111,"Les fréquences porteuses 2 182 kHz, 3 023 kHz, 5 680 kHz et 8 364 kHz, ainsi que les fréquences 121,5 MHz, 156,525 MHz, 156,8 MHz et 243 MHz peuvent, de plus, être utilisées, conformément aux procédures en vigueur pour les services de radiocommunication de Terre, pour les opérations de recherche et de sauvetage des véhicules spatiaux habités. Les conditions d'emploi de ces fréquences sont fixées dans l'Article 31.",
KHz,"2190,5-2194-KHz",MOBILE MARITIME,,,,,
KHz,COTE D’IVOIRE-KHz,COTE D’IVOIRE,,,,,OBSERVATIONS
KHz,BANDES-KHz,SERVICES,,,,,OBSERVATIONS
KHz,2194-2300-KHz,FIXE,,,5.92,"Des pays de la Région 1 utilisent des systèmes de radiorepérage dans les bandes 1 606,5-1 625 kHz, 1 635-1 800 kHz, 1 850-2 160 kHz, 2 194-2 300 kHz, 2 502-2 850 kHz et 3 500-3 800 kHz, sous réserve de l'accord obtenu au titre du numéro 9.21. La puissance moyenne rayonnée de ces stations ne doit pas dépasser 50W.","Communications mobiles maritimes dans les bandes 2194-2262,5 kHz et 2262,5-2498 kHz. (Cf. Art. 52.9 du RR)."
KHz,2194-2300-KHz,FIXE,,,5.103,"En Région 1, en faisant des assignations aux stations des services fixe et mobile dans les bandes 1 850-2 045 kHz, 2 194-2 498 kHz, 2 502-2 625 kHz et 2 650-2 850 kHz, les administrations doivent tenir compte des besoins particuliers du service mobile maritime.","Communications mobiles maritimes dans les bandes 2194-2262,5 kHz et 2262,5-2498 kHz. (Cf. Art. 52.9 du RR)."
